coded_semel,semel,num,YESHUV_CODE,"prec_recruitment",total
243,9800,2041.292427,91,0.640059701,1306.549021
112,681,3068.584469,86,0.423,1298.01123
69,31,3325.413665,82,0.389,1293.585916
113,2800,1927.464611,75,0.652,1256.706926
94,1031,2303.157135,73,0.523,1204.551182
157,922,1845.843903,73,0.640059701,1181.450298
125,8000,4623.104277,71,0.252,1165.022278
104,2100,1880.267089,71,0.618,1162.005061
122,182,1797.071846,71,0.640059701,1150.233269
74,154,1767.762547,69,0.640059701,1131.473568
56,3570,1370.331124,68,0.812,1112.708873
210,2300,1668.693207,68,0.640059701,1068.063276
163,3779,1643.561504,62,0.640059701,1051.977486
49,3650,1573.462293,62,0.640059701,1007.109806
155,1020,1672.030314,62,0.602,1006.562249
