,0
0,-4.097781230443941
1,-52.22286163535304
2,1.5567246201754497
3,3.587629917129492
4,-5.18589850670733
5,1.909783282055779
6,4.724770732371446
7,3.7974265271436716
8,-19.158729519982103
9,-20.567284207347566
10,8.794294270255799
11,4.3255717585072375
12,0.878855598904783
13,-7.530801876675297
14,13.373641875452803
15,-20.439613582048942
16,28.940091496160633
17,13.349473199402446
18,8.179398691820845
19,1.688579696170157
20,-4.9859676912295035
21,12.448687395004864
22,-6.788745644960436
23,-5.454419483076152
24,4.602819833546081
25,9.936949329057791
26,-19.532366316324666
27,28.952799598906513
28,9.05916114770072
29,8.147939424252217
30,-14.910699292697734
31,-14.69144796720367
32,-4.95900374721223
33,-13.840254090867687
34,4.3208191907575575
35,1.1004389941841883
36,-13.710843830707267
37,9.533457840870549
38,4.0081004975077565
39,13.29155906857034
40,0.8704451334204936
41,-6.810026781097555
42,-19.097443042845935
43,5.120716343996737
44,13.160944330146298
45,5.786378783516402
46,-13.178059205639006
47,9.237713443178448
48,-4.704134501777267
49,-7.741141188860037
50,1.0365432869783215
51,4.27429540449129
52,-31.241467974232613
53,-20.463741613057973
54,8.48851571323591
55,13.168617154300527
56,8.672065802326017
57,9.816504332948451
58,-6.780838083953551
59,8.723538883805473
60,8.723138216983664
61,-32.690064209887126
62,-20.340144369644612
63,-32.58717631144133
64,29.21477149656667
65,-7.390370083973701
66,13.10191769630329
67,-21.373926875559988
68,-31.526093897873174
69,5.038424471832832
70,-14.72009940726909
71,12.919728829710376
72,-31.759149403236318
73,-7.407117116524186
74,0.8674488576915567
75,9.076358642142953
76,-19.59639869264992
77,5.59312020840818
78,-6.533423633965348
79,-31.197473982068672
80,-20.02293951403715
81,-20.16942704306336
82,-18.28453824737421
83,4.594384984855333
84,9.066589359941236
85,-4.559957888408885
86,4.594308118210313
87,-19.964406481069716
88,-19.89621177076218
89,12.071448045642276
90,12.451828959303768
91,-14.692075004245961
92,-18.16314350532823
93,8.166785850574088
94,13.141528353189464
95,13.462866260217481
96,12.988709364780771
97,-29.611022177821024
98,3.909040089331333
99,9.084304529051987
100,-4.467828060345909
101,-19.695273522818233
102,-18.993567182004863
103,-19.845810418915512
